Sr. No.,Tag ID,Chassis/ Vehicle No,NPCI Vehicle Class,Vehicle Class Desc,Plaza Name,Pass Id,Pass Scheme,Pass Type,Pass Name,Start Effective Date,End Effective Date,Trips Allowed,Trips Taken,Channel,Issuance Date,Renewal Dt,Issuance Fees (Rs.),Payment Mode,Payment status,Stlmnt Dt,Stlmnt Amt (Rs.),Stlmnt Status,Current Status,Issued By,NPCI Plaza Id,AutoRenewal,Old Pass Id,New Pass Id,A,B
31,34161FA820328EE821A38C00,UP13BZ7872,VC4,Car / Jeep / Van,Kurana Toll Plaza,14097634,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,9,Concessionaire,4/2/2023 11:07,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
32,34161FA820328EE8212155C0,UP15BZ1914,VC4,Car / Jeep / Van,Kurana Toll Plaza,14048693,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,12,Concessionaire,2/2/2023 12:46,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
33,34161FA820328EE8211BED60,UP13BZ1666,VC4,Car / Jeep / Van,Kurana Toll Plaza,13975770,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,66,Concessionaire,1/2/2023 8:14,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
34,34161FA820328EE8211BDF60,UP13BY7786,VC4,Car / Jeep / Van,Kurana Toll Plaza,14186880,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,8/2/2023 0:00,28/02/2023 00:00:00,9999,23,Concessionaire,8/2/2023 14:29,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
35,34161FA820328EE820D83CA0,UP16AA9222,VC4,Car / Jeep / Van,Kurana Toll Plaza,14080548,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,14,Concessionaire,3/2/2023 15:29,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
36,34161FA820328EE820C376C0,UP374556,VC4,Car / Jeep / Van,Kurana Toll Plaza,14039761,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,2/2/2023 9:44,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
37,34161FA820328EE82050DB40,UP16DH7415,VC4,Car / Jeep / Van,Kurana Toll Plaza,14143222,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,7,Concessionaire,6/2/2023 13:43,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
38,34161FA820328EE8204A77E0,UP13BY5812,VC4,Car / Jeep / Van,Kurana Toll Plaza,14621492,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,22,Self,28/02/2023 22:30:04,N/A,315,,Success,1/3/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
39,34161FA820328EE8204A77E0,UP13BY5812,VC4,Car / Jeep / Van,Kurana Toll Plaza,14031113,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,17,Self,1/2/2023 23:30,N/A,315,,Success,2/2/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
40,34161FA820328EE8203BBAC0,UP37S2392,VC4,Car / Jeep / Van,Kurana Toll Plaza,14585754,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,50,Concessionaire,28/02/2023 15:53:20,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
41,34161FA820328EE81FA40F60,UP37L0099,VC4,Car / Jeep / Van,Kurana Toll Plaza,14143806,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,8,Self,6/2/2023 14:09,N/A,315,,Success,7/2/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
42,34161FA820328EE81F78A320,UP37H5494,VC4,Car / Jeep / Van,Kurana Toll Plaza,14339515,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,17/02/2023 00:00:00,28/02/2023 00:00:00,9999,0,Concessionaire,17/02/2023 11:51:26,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
43,34161FA820328EE81F7885C0,UP37L5362,VC4,Car / Jeep / Van,Kurana Toll Plaza,14009582,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,8,Concessionaire,1/2/2023 14:49,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
44,34161FA820328EE81EDD4320,UP25DH0907,VC4,Car / Jeep / Van,Kurana Toll Plaza,14358762,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,18/02/2023 00:00:00,28/02/2023 00:00:00,9999,9,Concessionaire,18/02/2023 14:16:53,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
45,34161FA820328EE81D771CE0,DL2CAK1551,VC4,Car / Jeep / Van,Kurana Toll Plaza,13999250,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,9,Self,1/2/2023 12:23,N/A,315,,Success,2/2/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
46,34161FA820328EE81D6DACE0,UP13BY5638,VC4,Car / Jeep / Van,Kurana Toll Plaza,14186831,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,8/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,8/2/2023 14:23,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
47,34161FA820328EE81D5FECC0,UP13BW0955,VC4,Car / Jeep / Van,Kurana Toll Plaza,14045993,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,23,Concessionaire,2/2/2023 11:50,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
48,34161FA820328EE81D5FC680,DL3CBF2824,VC4,Car / Jeep / Van,Kurana Toll Plaza,14103316,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,24,Concessionaire,4/2/2023 14:10,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
49,34161FA820328EE81C70E4C0,UP75AH2379,VC4,Car / Jeep / Van,Kurana Toll Plaza,14587244,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,12,Concessionaire,28/02/2023 16:14:09,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
50,34161FA820328EE81C70E4C0,UP75AH2379,VC4,Car / Jeep / Van,Kurana Toll Plaza,13996582,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,36,Concessionaire,1/2/2023 11:48,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
51,34161FA820328EE81C6FB740,DL1CAB3632,VC4,Car / Jeep / Van,Kurana Toll Plaza,14558718,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,35,Concessionaire,28/02/2023 10:54:38,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
52,34161FA820328EE81C569400,UP14FD7552,VC4,Car / Jeep / Van,Kurana Toll Plaza,14041997,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,31,Concessionaire,2/2/2023 10:30,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
53,34161FA820328EE81BF5FA60,UP37E9467,VC4,Car / Jeep / Van,Kurana Toll Plaza,13994028,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,3,Self,1/2/2023 11:20,N/A,315,,Success,2/2/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
54,34161FA820328EE81BCA6520,DL8CS0485,VC4,Car / Jeep / Van,Kurana Toll Plaza,14241995,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,11/2/2023 0:00,28/02/2023 00:00:00,9999,18,Concessionaire,11/2/2023 13:28,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
55,34161FA820328EE81BC89E40,DL10CT4665,VC4,Car / Jeep / Van,Kurana Toll Plaza,14242296,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,11/2/2023 0:00,28/02/2023 00:00:00,9999,11,Concessionaire,11/2/2023 13:57,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
56,34161FA820328EE81BB6EF60,DL2CAE9433,VC4,Car / Jeep / Van,Kurana Toll Plaza,14165977,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,7/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,7/2/2023 16:06,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
57,34161FA820328EE81BADDB80,UP37R5061,VC4,Car / Jeep / Van,Kurana Toll Plaza,13987581,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,12,Concessionaire,1/2/2023 10:16,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
58,34161FA820328EE81B41A5A0,UP15FC4625,VC4,Car / Jeep / Van,Kurana Toll Plaza,14015219,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,50,Concessionaire,1/2/2023 16:14,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
59,34161FA820328EE81ABAC1E0,UP37F5763,VC4,Car / Jeep / Van,Kurana Toll Plaza,14040617,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,5,Concessionaire,2/2/2023 10:05,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
60,34161FA820328EE81A1B7E60,UP37J4050,VC4,Car / Jeep / Van,Kurana Toll Plaza,13991458,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,14,Concessionaire,1/2/2023 10:55,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
61,34161FA820328EE819FA2E80,UP37F5992,VC4,Car / Jeep / Van,Kurana Toll Plaza,14209942,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,9/2/2023 0:00,28/02/2023 00:00:00,9999,6,Concessionaire,9/2/2023 16:49,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
62,34161FA820328EE819DEAEE0,UP37R1690,VC4,Car / Jeep / Van,Kurana Toll Plaza,14272794,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,13/02/2023 00:00:00,28/02/2023 00:00:00,9999,19,Concessionaire,13/02/2023 14:48:16,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
63,34161FA820328EE819D238A0,DL8CS3975,VC4,Car / Jeep / Van,Kurana Toll Plaza,13992246,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,31,Concessionaire,1/2/2023 11:05,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
64,34161FA820328EE819D05740,DL13CA3276,VC4,Car / Jeep / Van,Kurana Toll Plaza,14166695,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,7/2/2023 0:00,28/02/2023 00:00:00,9999,8,Concessionaire,7/2/2023 16:26,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
65,34161FA820328EE819A77020,UP13BX0454,VC4,Car / Jeep / Van,Kurana Toll Plaza,13999087,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,22,Concessionaire,1/2/2023 12:20,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
66,34161FA820328EE81998D0E0,UP14FA3060,VC4,Car / Jeep / Van,Kurana Toll Plaza,14017090,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,41,Concessionaire,1/2/2023 16:42,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
67,34161FA820328EE819526660,UP37N8162,VC4,Car / Jeep / Van,Kurana Toll Plaza,14227955,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,10/2/2023 0:00,28/02/2023 00:00:00,9999,6,Concessionaire,10/2/2023 16:32,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
68,34161FA820328EE81940AEA0,UP37R5019,VC4,Car / Jeep / Van,Kurana Toll Plaza,14077726,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,9,Self,3/2/2023 13:36,N/A,315,,Success,4/2/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
69,34161FA820328EE8191B40C0,DL1CS7597,VC4,Car / Jeep / Van,Kurana Toll Plaza,14104059,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,4/2/2023 14:42,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
70,34161FA820328EE81919FF20,UP14CD3871,VC4,Car / Jeep / Van,Kurana Toll Plaza,14549132,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,32,Concessionaire,28/02/2023 09:41:47,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
71,34161FA820328EE819055540,UP37R2701,VC4,Car / Jeep / Van,Kurana Toll Plaza,14309675,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,15/02/2023 00:00:00,28/02/2023 00:00:00,9999,17,Concessionaire,15/02/2023 16:38:33,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
